timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 20:36:47,gpt-5-mini,1807,1035,2842,0.0025217499999999997
2025-12-26 20:37:15,gpt-5-mini,1778,1491,3269,0.0034265
2025-12-26 20:37:38,gpt-5-mini,1763,1133,2896,0.00270675
2025-12-26 20:38:06,gpt-5-mini,1694,1165,2859,0.0027535
2025-12-26 20:38:34,gpt-5-mini,1972,1185,3157,0.0028629999999999997
2025-12-26 20:39:01,gpt-5-mini,1966,963,2929,0.0024175
2025-12-26 20:39:31,gpt-5-mini,1967,1135,3102,0.00276175
2025-12-26 20:39:45,gpt-5-mini,1201,1245,2446,0.00279025
2025-12-26 20:40:04,gpt-5-mini,1447,1039,2486,0.00243975
2025-12-26 20:40:25,gpt-5-mini,1492,1094,2586,0.002561
2025-12-26 20:40:47,gpt-5-mini,1501,1446,2947,0.00326725
2025-12-26 20:41:16,gpt-5-mini,1637,1675,3312,0.0037592499999999996
2025-12-26 20:41:43,gpt-5-mini,1602,981,2583,0.0023624999999999996
2025-12-26 20:42:08,gpt-5-mini,1659,1256,2915,0.0029267499999999997
2025-12-26 20:42:42,gpt-5-mini,4294,1503,5797,0.0040795
2025-12-26 20:43:33,gpt-5-mini,3737,1472,5209,0.0038782499999999998
2025-12-26 20:44:28,gpt-5-mini,3358,1543,4901,0.0039255
2025-12-26 20:45:11,gpt-5-mini,3406,1506,4912,0.0038634999999999997
2025-12-26 20:46:05,gpt-5-mini,4258,1486,5744,0.0040365
2025-12-26 20:46:55,gpt-5-mini,4141,1460,5601,0.0039552499999999996
2025-12-26 20:47:40,gpt-5-mini,4385,1300,5685,0.00369625
2025-12-26 20:48:02,gpt-5-mini,5749,1904,7653,0.00524525
2025-12-26 20:48:54,gpt-5-mini,4857,1824,6681,0.00486225
2025-12-26 20:50:41,gpt-5-mini,4684,1768,6452,0.004706999999999999
2025-12-26 20:51:50,gpt-5-mini,5007,2108,7115,0.00546775
2025-12-26 20:52:45,gpt-5-mini,5275,1818,7093,0.00495475
2025-12-26 20:54:39,gpt-5-mini,5285,2214,7499,0.005749249999999999
2025-12-26 20:55:36,gpt-5-mini,5272,1857,7129,0.005032
